CNPJ_Fundo;Data_Referencia;Tipo;Emissor;CNPJ_Emissor;Valor
01.235.622/0001-61;31/03/2022;FII;BRIX Fundo de investimento Imobiliário;35360651000177;1114249143
01.235.622/0001-61;31/03/2022;FII;Dovel Fundo de Investimento Imobiliário;10522648000181;5797787176
01.235.622/0001-61;30/06/2022;FII;OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMOBILIARIO;42273290000197;3085509485
01.235.622/0001-61;30/06/2022;FII;BRIX Fundo de investimento Imobiliário;35360651000177;254210798
01.235.622/0001-61;30/06/2022;FII;Dovel Fundo de Investimento Imobiliário;10522648000181;6746299265
01.235.622/0001-61;30/06/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO;17007528000195;1413974512
01.235.622/0001-61;30/06/2022;FII;BRIX Fundo de investimento Imobiliário - SÊNIOR;35360651000177;1038068961
01.235.622/0001-61;30/06/2022;FII;BRIX Fundo de investimento Imobiliário - MEZANINO;35360651000177;1074172091
01.235.622/0001-61;30/09/2022;FII;Dovel Fundo de Investimento Imobiliário;10522648000181;6818578227
01.235.622/0001-61;30/09/2022;FII;BRIX Fundo de investimento Imobiliário - MEZANINO;35360651000177;1434702758
01.235.622/0001-61;30/09/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO;17007528000195;1414017546
01.235.622/0001-61;30/09/2022;FII;BRIX Fundo de investimento Imobiliário - SÊNIOR;35360651000177;1207155927
01.235.622/0001-61;30/09/2022;FII;BRIX Fundo de investimento Imobiliário;35360651000177;25110489
01.235.622/0001-61;30/09/2022;FII;OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMOBILIARIO;42273290000197;3887965756
01.601.918/0001-59;31/03/2022;FII;Fundo SDI Rio Bravo Renda Logística;16671412000193;56111055
01.601.918/0001-59;30/06/2022;FII;Fundo SDI Rio Bravo Renda Logística;16671412000193;5361411
03.683.056/0001-86;31/03/2022;FII;The One;12948291000123;565984
03.683.056/0001-86;31/03/2022;FII;CSHG Real Estate;9072017000129;253980608
03.683.056/0001-86;31/03/2022;FII;Legatus Shopping;30248158000146;304465
03.683.056/0001-86;31/03/2022;FII;Brazil Real Estate Victory;26195121000120;499669797
03.683.056/0001-86;31/03/2022;FII;Renda Educacional;13873457000152;512462112
03.683.056/0001-86;31/03/2022;FII;Autonomy Edifícios Corporativos FII;35765826000126;14723151
03.683.056/0001-86;31/03/2022;FII;VBI Prime Properties;35652102000176;112041477
03.683.056/0001-86;30/06/2022;FII;Brazil Real Estate Victory;26195121000120;49079374
03.683.056/0001-86;30/06/2022;FII;VBI Prime Properties;35652102000176;11193174
03.683.056/0001-86;30/06/2022;FII;CSHG Real Estate;9072017000129;260241824
03.683.056/0001-86;30/06/2022;FII;The One;12948291000123;5966016
03.683.056/0001-86;30/06/2022;FII;Autonomy Edifícios Corporativos FII;35765826000126;13898233
03.683.056/0001-86;30/06/2022;FII;Renda Educacional;13873457000152;48978018
03.683.056/0001-86;30/09/2022;FII;The One;12948291000123;13002444
03.683.056/0001-86;30/09/2022;FII;Brazil Real Estate Victory;26195121000120;497707628
03.683.056/0001-86;30/09/2022;FII;Autonomy Edifícios Corporativos FII;35765826000126;14367019
03.683.056/0001-86;30/09/2022;FII;Renda Educacional;13873457000152;568336102
03.683.056/0001-86;30/09/2022;FII;Rio Bravo Fundo de Fundos;17329029000114;710975748
08.431.747/0001-06;31/03/2022;FII;FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. -;23648935000184;431124192
08.431.747/0001-06;31/03/2022;FII;SHOPPING WEST PLAZA FDO INV IMOB;09326861000139;4646054553
08.431.747/0001-06;31/03/2022;FII;HABITAT II - FDO INV IMOB;30578417000105;1985344
08.431.747/0001-06;31/03/2022;FII;HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE;35586415000173;22829389317
08.431.747/0001-06;31/03/2022;FII;FDO INV IMOB - FII FLORIPA SHOPPING;10375382000191;4870556152
08.431.747/0001-06;31/03/2022;FII;HEDGE ATRIUM SHOPPING SANTO ANDRE FDO IN;12809972000100;252867
08.431.747/0001-06;31/03/2022;FII;CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMO;11160521000122;64269978
08.431.747/0001-06;31/03/2022;FII;FDO INV IMOB GRAND PLAZA SHOPPING;01201140000190;672864813
08.431.747/0001-06;31/03/2022;FII;SANTANDER PAPEIS IMOB CDI FDO INV IMOB;32903521000145;3139862
08.431.747/0001-06;31/03/2022;FII;KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV I;16706958000132;1763077668
08.431.747/0001-06;31/03/2022;FII;FDO INV IMOB - FII BTG PACTUAL FUNDO DE;09552812000114;153745129
08.431.747/0001-06;31/03/2022;FII;FDO INV IMOB - FII SHOPPING JARDIM SUL;14879856000193;7136378356
08.431.747/0001-06;31/03/2022;FII;FDO INV IMOB - FII PARQUE D. PEDRO SHOPP;10869155000112;613791
08.431.747/0001-06;31/03/2022;FII;FDO INV IMOB VIA PARQUE SHOPPING - FII;00332266000131;4075480552
08.431.747/0001-06;31/03/2022;FII;FDO INV IMOB GENERAL SHOPPING ATIVO E RE;17590518000125;850267409
08.431.747/0001-06;30/06/2022;FII;HABITAT II - FDO INV IMOB;30578417000105;1887188
08.431.747/0001-06;30/06/2022;FII;CSHG RECEBÍVEIS IMOBILIÁRIOS FII - FII;11160521000122;6335698392
08.431.747/0001-06;30/06/2022;FII;GENERAL SHOPPING ATIVO E RENDA FII;17590518000125;739166217
08.431.747/0001-06;30/06/2022;FII;SANTANDER PAPEIS IMOB CDI FDO INV IMOB;32903521000145;30219497
08.431.747/0001-06;30/06/2022;FII;SHOPPING WEST PLAZA FDO INV IMOB;09326861000139;4633182813
08.431.747/0001-06;30/06/2022;FII;FDO INV IMOB VIA PARQUE SHOPPING - FII;00332266000131;4004697072
08.431.747/0001-06;30/06/2022;FII;FDO INV IMOB - FII SHOPPING JARDIM SUL;14879856000193;7813675314
08.431.747/0001-06;30/06/2022;FII;FDO INV IMOB GRAND PLAZA SHOPPING;01201140000190;643328909
08.431.747/0001-06;30/06/2022;FII;KINEA RENDIMENTOS IMOBILIÁRIOS FII - FII;16706958000132;1065492196
08.431.747/0001-06;30/06/2022;FII;FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII;23648935000184;425039778
08.431.747/0001-06;30/06/2022;FII;FII - FII PARQUE D. PEDRO SHOPPING CENTER;10869155000112;387612
08.431.747/0001-06;30/06/2022;FII;HEDGE SHOPPING PARQUE DOM PEDRO FII;35586415000173;23528443736
08.431.747/0001-06;30/06/2022;FII;FDO INV IMOB - FII FLORIPA SHOPPING;10375382000191;5745637179
08.431.747/0001-06;30/06/2022;FII;FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI;09552812000114;14772058
08.431.747/0001-06;30/06/2022;FII;HEDGE ATRIUM SHOPPING SANTO ANDRE FII;12809972000100;2411753
08.693.497/0001-82;31/03/2022;FII;FUNDO DE INVESTIMENTO IMOB. QUINTAS;27368617000110;382696635
08.693.497/0001-82;30/06/2022;FII;FUNDO DE INVESTIMENTO IMOB. QUINTAS;27368617000110;383379909
08.924.783/0001-01;31/03/2022;FII;FII PROJ AGUA BRANCA;03251720000118;247208053
08.924.783/0001-01;31/03/2022;FII;FUNDO DE INV IMOBILIARIO FII PRIME PORTFO;10427246000106;61204665449
08.924.783/0001-01;31/03/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA;15333306000137;79166946
08.924.783/0001-01;31/03/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO MV9 - FII;23537203000117;13218417584
08.924.783/0001-01;31/03/2022;FII;FII BTG PACTUAL PRIME OFFICES I - FII;18312285000161;8044261248
08.924.783/0001-01;31/03/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO CJ - FII;23582914000103;10070166004
08.924.783/0001-01;30/06/2022;FII;FUNDO DE INV IMOBILIARIO FII PRIME PORTFO;10427246000106;57244784757
08.924.783/0001-01;30/06/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO MV9 - FII;23537203000117;12324734627
08.924.783/0001-01;30/06/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO CJ - FII;23582914000103;11775751245
08.924.783/0001-01;30/06/2022;FII;FII BTG PACTUAL PRIME OFFICES I - FII;18312285000161;8032562871
08.924.783/0001-01;30/06/2022;FII;FII EDIFICIO GALERIA;15333306000137;729394176
08.924.783/0001-01;30/06/2022;FII;FII PROJ AGUA BRANCA;03251720000118;216145261
09.552.812/0001-14;31/03/2022;FII;HEDGE RECEBIVEIS FUNDO DE INVESTIMENTO IMOBILIARIO;35507262000121;11658721
09.552.812/0001-14;31/03/2022;FII;KINEA INDICES DE PRECOS FI IMOBILIARIO - FII;24960430000113;2997194771
09.552.812/0001-14;31/03/2022;FII;MULTI SHOPPINGS FII;22459737000100;282786314
09.552.812/0001-14;31/03/2022;FII;XP CREDITO IMOBILIARIO FUNDO DE INVESTIMENTO IMOBI;28516301000191;974872
09.552.812/0001-14;31/03/2022;FII;KINEA SECURITIES FII - FII;35864448000138;203847
09.552.812/0001-14;30/06/2022;FII;HEDGE RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENT;35507262000121;1159261485
09.552.812/0001-14;30/06/2022;FII;MULTI SHOPPINGS FII;22459737000100;248045874
09.552.812/0001-14;30/06/2022;FII;KINEA INDICES DE PRECOS FI IMOBILIARIO - FII;24960430000113;2274214893
09.552.812/0001-14;30/06/2022;FII;VALORA CRI INDICE DE PRECO FII - FII;34197811000146;1547409047
10.347.505/0001-80;31/03/2022;FII;Fundo de investimento Imobiliario Shopping;23740595000117;39664607
10.347.505/0001-80;31/03/2022;FII;Fundo de Investimento Imobiliario Votorantim BII BTS;23120006000106;652801
10.347.505/0001-80;31/03/2022;FII;Fundo de investimento Imobiliario Patrimonial XII;23740552000131;1084125
10.347.505/0001-80;31/03/2022;FII;Fundo de investimento Imobiliario Securities Master;17870926000130;26991359
10.347.505/0001-80;30/06/2022;FII;Fundo de investimento Imobiliario Securities Master;17870926000130;2660332
10.347.505/0001-80;30/06/2022;FII;Kinea Rendimentos Imobiliários FII;16706958000132;5577212
10.347.505/0001-80;30/06/2022;FII;Fundo de investimento Imobiliario Shopping;23740595000117;38141697
10.347.505/0001-80;30/06/2022;FII;Fundo de investimento Imobiliario Patrimonial XII;23740552000131;1062515
10.347.505/0001-80;30/09/2022;FII;Fundo de investimento Imobiliario Patrimonial XII;23740552000131;491385
10.347.505/0001-80;30/09/2022;FII;Fundo de investimento Imobiliario Securities Master;17870926000130;26271252
10.347.505/0001-80;30/09/2022;FII;Fundo de investimento Imobiliario Shopping;23740595000117;37951698
10.427.246/0001-06;31/03/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO CENESP;13551286000145;19924632824
10.427.246/0001-06;31/03/2022;FII;FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA;15333306000137;1555611
10.427.246/0001-06;30/06/2022;FII;FII EDIFICIO GALERIA;15333306000137;14332416
10.427.246/0001-06;30/06/2022;FII;FII CENESP;13551286000145;763190664
10.456.799/0001-89;31/03/2022;FII;Fundo de Investimento Imobiliário Hermes;868235000108;823491311
10.456.799/0001-89;30/06/2022;FII;Fundo de Investimento Imobiliário Hermes;868235000108;823491311
10.456.799/0001-89;30/09/2022;FII;Fundo de Investimento Imobiliário Hermes;868235000108;823491311
10.456.810/0001-00;31/03/2022;FII;FII Rio Bravo Renda Corporativa;3683056000186;154920535
10.456.810/0001-00;30/06/2022;FII;DEVANT PROPERTIES FII;42922127000108;500000
10.456.810/0001-00;30/06/2022;FII;FII RIO BRAVO RENDA CORPORATIVA;3683056000186;1525390
10.869.155/0001-12;31/03/2022;FII;FII SHOPPING PARQUE DOM PEDRO;07224019000160;4017992135
10.869.155/0001-12;30/06/2022;FII;FII SHOPPING PARQUE DOM PEDRO;7224019000160;40793204331
11.026.627/0001-38;31/03/2022;FII;FII V2 PROPERTIES;33045581000137;200516715
11.026.627/0001-38;31/03/2022;FII;KINEA INDICES DE PRECOS FI IMOBILIARIO - FII;24960430000113;1434696339
11.026.627/0001-38;31/03/2022;FII;RIZA AKIN FII;36642219000131;867595309
11.026.627/0001-38;31/03/2022;FII;FII CENESP;13551286000145;620463025
11.026.627/0001-38;31/03/2022;FII;CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIARIO;38293921000162;100462061
11.026.627/0001-38;31/03/2022;FII;CANVAS CRI - FII;40011268000143;54439000
11.026.627/0001-38;31/03/2022;FII;HEDGE RECEBIVEIS FUNDO DE INVESTIMENTO IMOBILIARIO;35507262000121;7772416
11.026.627/0001-38;31/03/2022;FII;XP CREDITO IMOBILIARIO FUNDO DE INVESTIMENTO IMOBI;28516301000191;974872
11.026.627/0001-38;31/03/2022;FII;FI IMOBILIARIO BM BRASCAN LAJES CORP FII;14376247000111;14128751
11.026.627/0001-38;31/03/2022;FII;FII BTG PACTUAL PRIME OFFICES I - FII;18312285000161;1680299753
11.026.627/0001-38;31/03/2022;FII;FI IMOBILIARIO - FII HOTEL MAXINVEST;8706065000169;1174627774
11.026.627/0001-38;31/03/2022;FII;FII - MOGNO HOTEIS;34197776000165;8305000
11.026.627/0001-38;31/03/2022;FII;FII IRIDIUM RECEBIVEIS IMOBILIARIOS;28830325000110;5698719399
11.026.627/0001-38;31/03/2022;FII;KINEA RENDIMENTOS IMOBILIARIOS FII;16706958000132;1255828629
11.026.627/0001-38;31/03/2022;FII;BTGP REAL ESTATE PRIME OPPORTUNITIES FII;36642311000100;15719997688
11.026.627/0001-38;31/03/2022;FII;XP Log Fundo de Investimento Imobiliário - FII;26502794000185;1601843564
11.026.627/0001-38;31/03/2022;FII;FI IMOBILIARIO - FII TB OFFICE;17365105000147;292226
11.026.627/0001-38;31/03/2022;FII;RIO BRAVO CREDITO IMOBILIARIO IV FUNDO DE INVESTIM;30647758000187;4414701025
11.026.627/0001-38;31/03/2022;FII;FII RBR RENDIMENTO HIGH GRADE;29467977000103;683152176
11.026.627/0001-38;31/03/2022;FII;IRIDIUM FII;41076564000195;136126510
11.026.627/0001-38;31/03/2022;FII;FII SHOPPING JARDIM SUL;14879856000193;235816665
