CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Fundo_Nao_Listado_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;Data_Encerramento_Trimestre
00.332.266/0001-31;2022-03-31;1;2022-05-11;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AVENIDA CHEDID JAFET;222;3 ANDAR - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509 6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-03-31
00.332.266/0001-31;2022-06-30;1;2022-08-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AVENIDA CHEDID JAFET;222;3 ANDAR - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509 6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-06-30
00.332.266/0001-31;2022-09-30;1;2022-11-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AVENIDA CHEDID JAFET;222;3 ANDAR - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509 6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-09-30
00.613.094/0001-74;2022-03-31;1;2022-05-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7821;(21) 3725-7731;;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com;2022-03-31
00.613.094/0001-74;2022-06-30;1;2022-07-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7821;(21) 3725-7731;;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com;2022-06-30
00.613.094/0001-74;2022-09-30;1;2022-10-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7821;(21) 3725-7731;;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com;2022-09-30
00.762.723/0001-28;2022-03-31;1;2022-05-11;FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2902772;Não;Não;Não;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00762723000128;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-03-31
00.762.723/0001-28;2022-06-30;1;2022-08-12;FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2902772;Não;Não;Não;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00762723000128;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-06-30
00.762.723/0001-28;2022-09-30;1;2022-11-07;FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2902772;Não;Não;Não;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00762723000128;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-09-30
00.868.235/0001-08;2022-03-31;1;2022-05-16;FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;Não;Não;Não;Renda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00868235000108;AVENIDA CHEDID JAFET;222;3 ANDAR BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509 6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-03-31
00.868.235/0001-08;2022-06-30;1;2022-08-15;FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;Não;Não;Não;Renda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00868235000108;AVENIDA CHEDID JAFET;222;3 ANDAR BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509 6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-06-30
01.201.140/0001-90;2022-03-31;1;2022-05-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203833;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RO BRAVO INVESTIMENTOS DTVM LTDA;01201140000190;AVENIDA CHEDID JAFET;222;3 ANDAR BLOCO B;VILA OLIMPIA;SÃO PAULO;SP;04551065;11 3509 6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-03-31
